model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,emission_avoided_kg_co2e,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
DLinear,test_daily_threshold_sweep,0.125,4,0.9525193798449613,0.7095625635808749,0.9359275410935928,0.004359197907585004,0.2904374364191251,0.995640802092415,3932,2790,2276.617919921875,11402.6455078125,11402.6455078125,9126.0283203125,2296.60400390625,0.9912975489242459,455.32358398437503,1142,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.1,4,0.9602713178294574,0.7119071644803229,0.9466621938946662,0.004359197907585004,0.28809283551967707,0.995640802092415,3964,2822,2276.617919921875,11491.876953125,11491.876953125,9215.259765625,2296.60400390625,0.9912975489242459,455.32358398437503,1142,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.075,4,0.969234496124031,0.7133216695826043,0.9573968466957397,0.0,0.28667833041739565,1.0,4001,2854,2296.60400390625,11608.98046875,11608.98046875,9312.376953125,2296.60400390625,1.0,459.32080078125,1147,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.05,4,0.9888565891472868,0.7190102890739833,0.9845689365984569,0.0,0.28098971092601666,1.0,4082,2935,2296.60400390625,11829.974609375,11829.974609375,9533.3701171875,2296.60400390625,1.0,459.32080078125,1147,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.95,4,0.015988372093023256,0.0,0.0,0.942458587619878,1.0,0.05754141238012206,66,0,94.623046875,94.623046875,94.623046875,0.0,2296.60400390625,0.041201289692980356,18.924609375,66,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.925,4,0.04215116279069767,0.0,0.0,0.8482999128160419,1.0,0.15170008718395817,174,0,249.1466827392578,249.1466827392578,249.1466827392578,0.0,2296.60400390625,0.10848482468701133,49.82933654785157,174,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.9,4,0.04215116279069767,0.0,0.0,0.8482999128160419,1.0,0.15170008718395817,174,0,249.1466827392578,249.1466827392578,249.1466827392578,0.0,2296.60400390625,0.10848482468701133,49.82933654785157,174,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.875,4,0.07703488372093023,0.03459119496855346,0.0036900369003690036,0.7323452484742807,0.9654088050314465,0.26765475152571927,318,11,569.2431640625,612.088623046875,612.088623046875,42.84544372558594,2296.60400390625,0.24786300254388008,113.8486328125,307,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.85,4,0.08866279069767442,0.03551912568306011,0.004360952700436095,0.6922406277244987,0.9644808743169399,0.3077593722755013,366,13,658.04638671875,703.4888916015625,703.4888916015625,45.442527770996094,2296.60400390625,0.2865301922314389,131.60927734375,353,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.825,4,0.08866279069767442,0.03551912568306011,0.004360952700436095,0.6922406277244987,0.9644808743169399,0.3077593722755013,366,13,658.04638671875,703.4888916015625,703.4888916015625,45.442527770996094,2296.60400390625,0.2865301922314389,131.60927734375,353,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.8,4,0.11312984496124032,0.057815845824411134,0.009057363300905737,0.6163905841325196,0.9421841541755889,0.3836094158674804,467,27,867.930419921875,939.759521484375,939.759521484375,71.82909393310547,2296.60400390625,0.3779190572016894,173.58608398437502,440,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.775,4,0.14244186046511628,0.061224489795918366,0.012076484401207649,0.5187445510026155,0.9387755102040817,0.4812554489973845,588,36,1087.9527587890625,1200.5321044921875,1200.5321044921875,112.57940673828125,2296.60400390625,0.4737223992201461,217.5905517578125,552,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.75,4,0.14244186046511628,0.061224489795918366,0.012076484401207649,0.5187445510026155,0.9387755102040817,0.4812554489973845,588,36,1087.9527587890625,1200.5321044921875,1200.5321044921875,112.57940673828125,2296.60400390625,0.4737223992201461,217.5905517578125,552,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.725,4,0.16472868217054262,0.09117647058823529,0.02079838980207984,0.46120313862249346,0.9088235294117647,0.5387968613775065,680,62,1254.3980712890625,1455.660888671875,1455.660888671875,201.26266479492188,2296.60400390625,0.5461969365007989,250.8796142578125,618,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.7,4,0.1923449612403101,0.12216624685138538,0.032539416303253944,0.3923278116826504,0.8778337531486146,0.6076721883173496,794,97,1351.4541015625,1669.15576171875,1669.15576171875,317.70166015625,2296.60400390625,0.5884576092629976,270.2908203125,697,test_daily,43,True
