model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
Historical average,test_daily_threshold_sweep,0.95,4,0.0159883720930232,0.0,0.0,0.942458587619878,1.0,0.057541412380122,66,0,94.623046875,94.623046875,94.623046875,0.0,2296.60400390625,0.0412012896929803,66,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.925,4,0.0421511627906976,0.0,0.0,0.8482999128160419,1.0,0.1517000871839581,174,0,249.1466827392578,249.1466827392578,249.1466827392578,0.0,2296.60400390625,0.1084848246870113,174,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.9,4,0.0421511627906976,0.0,0.0,0.8482999128160419,1.0,0.1517000871839581,174,0,249.1466827392578,249.1466827392578,249.1466827392578,0.0,2296.60400390625,0.1084848246870113,174,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.875,4,0.0770348837209302,0.0345911949685534,0.003690036900369,0.7323452484742807,0.9654088050314464,0.2676547515257192,318,11,569.2431640625,612.088623046875,612.088623046875,42.84544372558594,2296.60400390625,0.24786300254388,307,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.85,4,0.0886627906976744,0.0355191256830601,0.004360952700436,0.6922406277244987,0.96448087431694,0.3077593722755013,366,13,658.04638671875,703.4888916015625,703.4888916015625,45.442527770996094,2296.60400390625,0.2865301922314389,353,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.825,4,0.0886627906976744,0.0355191256830601,0.004360952700436,0.6922406277244987,0.96448087431694,0.3077593722755013,366,13,658.04638671875,703.4888916015625,703.4888916015625,45.442527770996094,2296.60400390625,0.2865301922314389,353,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.8,4,0.1131298449612403,0.0578158458244111,0.0090573633009057,0.6163905841325196,0.9421841541755888,0.3836094158674804,467,27,867.930419921875,939.759521484375,939.759521484375,71.82909393310547,2296.60400390625,0.3779190572016894,440,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.775,4,0.1424418604651162,0.0612244897959183,0.0120764844012076,0.5187445510026155,0.9387755102040816,0.4812554489973845,588,36,1087.9527587890625,1200.5321044921875,1200.5321044921875,112.57940673828124,2296.60400390625,0.4737223992201461,552,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.75,4,0.1424418604651162,0.0612244897959183,0.0120764844012076,0.5187445510026155,0.9387755102040816,0.4812554489973845,588,36,1087.9527587890625,1200.5321044921875,1200.5321044921875,112.57940673828124,2296.60400390625,0.4737223992201461,552,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.725,4,0.1647286821705426,0.0911764705882352,0.0207983898020798,0.4612031386224934,0.9088235294117648,0.5387968613775065,680,62,1254.3980712890625,1455.660888671875,1455.660888671875,201.26266479492188,2296.60400390625,0.5461969365007989,618,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.7,4,0.1923449612403101,0.1221662468513853,0.0325394163032539,0.3923278116826504,0.8778337531486146,0.6076721883173496,794,97,1351.4541015625,1669.15576171875,1669.15576171875,317.70166015625,2296.60400390625,0.5884576092629976,697,test_daily,43,True
